CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn,Gender,SeniorCitizen,Partner,Dependents,PhoneService,InternetService,OnlineSecurity,TechSupport
CUST001,24,65.30,1568.20,Month-to-month,Electronic check,Yes,Female,0,Yes,No,Yes,DSL,No,No
CUST002,12,89.50,1074.00,One year,Credit card,No,Male,1,No,No,Yes,Fiber optic,Yes,Yes
CUST003,36,45.75,1647.00,Two year,Bank transfer,No,Female,0,Yes,Yes,Yes,DSL,Yes,No
CUST004,8,75.80,606.40,Month-to-month,Electronic check,Yes,Male,0,No,No,Yes,Fiber optic,No,No
CUST005,18,55.20,993.60,One year,Credit card,No,Female,1,Yes,No,Yes,DSL,Yes,Yes
CUST006,48,120.50,5784.00,Two year,Bank transfer,No,Male,1,Yes,Yes,Yes,Fiber optic,Yes,Yes
CUST007,3,35.40,106.20,Month-to-month,Electronic check,Yes,Female,0,No,No,Yes,No,No,No
CUST008,60,95.75,5745.00,Two year,Credit card,No,Male,1,Yes,Yes,Yes,Fiber optic,Yes,Yes
CUST009,15,70.25,1053.75,One year,Bank transfer,No,Female,0,Yes,No,Yes,DSL,No,Yes
CUST010,6,40.80,244.80,Month-to-month,Electronic check,Yes,Male,0,No,No,Yes,No,No,No
CUST011,42,110.30,4633.60,Two year,Credit card,No,Female,1,Yes,Yes,Yes,Fiber optic,Yes,Yes
CUST012,21,58.90,1236.90,One year,Bank transfer,No,Male,0,No,No,Yes,DSL,Yes,No
CUST013,9,82.15,739.35,Month-to-month,Electronic check,Yes,Female,0,Yes,No,Yes,Fiber optic,No,No
CUST014,33,62.45,2060.85,Two year,Credit card,No,Male,1,Yes,Yes,Yes,DSL,Yes,Yes
CUST015,27,91.20,2462.40,One year,Bank transfer,No,Female,0,No,No,Yes,Fiber optic,Yes,No
CUST016,4,38.60,154.40,Month-to-month,Electronic check,Yes,Male,0,No,No,Yes,No,No,No
CUST017,51,125.75,6413.25,Two year,Credit card,No,Female,1,Yes,Yes,Yes,Fiber optic,Yes,Yes
CUST018,39,78.30,3053.70,Two year,Bank transfer,No,Male,1,Yes,No,Yes,DSL,Yes,Yes
CUST019,13,52.40,681.20,Month-to-month,Electronic check,Yes,Female,0,Yes,No,Yes,DSL,No,No
CUST020,45,105.60,4752.00,Two year,Credit card,No,Male,1,Yes,Yes,Yes,Fiber optic,Yes,Yes
