Date,Revenue,Marketing_Spend,Sales_Team_Size,Product_Launches,Season,Economic_Index,Competition_Score,Customer_Satisfaction
2024-01-01,125000,15000,12,1,Winter,85.2,7.3,4.2
2024-01-02,132000,16500,12,1,Winter,85.5,7.1,4.3
2024-01-03,128000,14800,12,1,Winter,85.8,7.2,4.1
2024-01-04,135000,17200,12,1,Winter,86.1,7.0,4.4
2024-01-05,142000,18900,13,1,Winter,86.4,6.9,4.5
2024-01-06,138000,17600,13,1,Winter,86.7,7.1,4.3
2024-01-07,145000,19400,13,1,Winter,87.0,6.8,4.6
2024-01-08,151000,20100,13,2,Winter,87.3,6.7,4.7
2024-01-09,148000,19800,13,2,Winter,87.6,6.9,4.5
2024-01-10,155000,21200,14,2,Winter,87.9,6.6,4.8
2024-02-01,162000,22500,14,2,Winter,88.2,6.5,4.9
2024-02-02,158000,21800,14,2,Winter,88.5,6.7,4.7
2024-02-03,165000,23100,14,2,Winter,88.8,6.4,5.0
2024-02-04,172000,24600,15,2,Winter,89.1,6.3,5.1
2024-02-05,169000,24200,15,2,Winter,89.4,6.5,4.9
2024-03-01,185000,26800,15,3,Spring,90.2,6.1,5.3
2024-03-02,192000,28200,16,3,Spring,90.8,5.9,5.5
2024-03-03,188000,27500,16,3,Spring,91.1,6.0,5.4
2024-03-04,195000,29100,16,3,Spring,91.5,5.8,5.6
2024-03-05,201000,30500,17,3,Spring,91.8,5.7,5.7
