EmployeeID,Age,Department,Salary,YearsOfExperience,Education,Performance_Score,TrainingHours,ProjectsCompleted,TeamSize,RemoteWork
EMP001,28,Engineering,75000,4,Bachelor,Excellent,40,8,5,Yes
EMP002,35,Marketing,68000,7,Master,Good,32,12,4,No
EMP003,42,Sales,82000,12,Bachelor,Outstanding,45,15,6,Yes
EMP004,31,HR,58000,5,Master,Good,38,6,3,No
EMP005,29,Engineering,72000,3,Bachelor,Fair,25,4,5,Yes
EMP006,38,Finance,89000,10,Master,Excellent,42,18,4,No
EMP007,26,Marketing,52000,2,Bachelor,Fair,28,3,4,Yes
EMP008,45,Engineering,95000,15,PhD,Outstanding,50,22,8,No
EMP009,33,Sales,76000,8,Bachelor,Good,35,11,5,Yes
EMP010,27,HR,54000,3,Master,Fair,30,4,3,No
EMP011,40,Finance,85000,12,Master,Excellent,44,16,4,Yes
EMP012,32,Engineering,78000,6,Bachelor,Good,36,9,6,No
EMP013,29,Marketing,61000,4,Master,Good,33,7,4,Yes
EMP014,37,Sales,88000,11,Bachelor,Excellent,41,14,7,No
EMP015,34,HR,65000,7,Master,Good,37,8,3,Yes
EMP016,43,Finance,92000,14,MBA,Outstanding,48,19,5,No
EMP017,30,Engineering,74000,5,Bachelor,Good,34,7,5,Yes
EMP018,36,Marketing,70000,9,Master,Excellent,40,13,4,No
EMP019,28,Sales,59000,3,Bachelor,Fair,26,5,4,Yes
EMP020,41,Engineering,89000,13,Master,Outstanding,46,17,7,No
